fragment_smiles,mean_fragment_effect_rejection_selectivity,std_fragment_effect_rejection_selectivity,mean_fragment_effect_logp_difference,std_fragment_effect_logp_difference,fragment_mw,type
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,2.335684109133927,0.8697435007081744,5.3467550000000035,0.20818658249651512,321.44000000000005,overall
[*]C(C)(C)C,1.1933745709033776,0.2538971476155429,1.405834999999999,0.1398514146664622,57.116,overall
[*]C(C)C,1.1509158294627613,0.19479501361033727,1.1237349999999993,0.08487847210168066,43.089,overall
[*]C(F)(F)F,1.2066241476317034,0.19378828994963965,1.0758599999999994,0.16187794102185057,69.00500000000001,overall
[*]C12CC3CC(CC(C2)C3)C1,1.439017083188051,0.2985036840970931,2.576134999999999,0.13985141466646359,135.23,overall
[*]C1CCC2(CCCC2)CC1,1.4212376273203997,0.3248502725902932,3.2183350000000006,0.08487847210168181,137.246,overall
[*]C1CCCCC1,1.2315110128408642,0.2136706855390642,2.048034999999998,0.08487847210168056,83.15400000000001,overall
[*]C1CCCCCCC1,1.2858047720080585,0.2517263415591447,2.8282349999999994,0.08487847210168156,111.20800000000001,overall
[*]C1CCCCCCCCC1,1.339123314504146,0.28358444252766557,3.6084350000000014,0.08487847210168209,139.262,overall
[*]CCCCCC,1.2118470925177782,0.18703568447700816,2.2450099999999984,0.13646689554228186,85.17,overall
[*]CCCCCCCC,1.2328823105690583,0.20677300856252698,3.02521,0.13646689554228247,113.224,overall
[*]CCCCCCCCCC,1.2613875501396286,0.23322585842614324,3.805410000000002,0.1364668955422818,141.27800000000002,overall
[*]N,1.327971213584263,0.25651415408239864,-0.47574499999999986,0.18905610271473428,16.023,overall
[*]N1CCCCC1,1.3073708459465962,0.23161797901718204,0.9919049999999994,0.1794730663710619,84.14200000000001,overall
[*]O,1.277154284611688,0.3025624791633198,-0.3448650000000002,0.24390879933847615,17.007,overall
[*]OC,1.1301809786877308,0.1610740882305644,0.08130500000000014,0.1943504525200208,31.034,overall
[*]c1ccccc1,1.2386571607286323,0.22113043222040699,1.5535349999999988,0.2604590063209252,77.106,overall
[*]c1ccncc1,1.3733088204842485,0.29661589368204044,0.9485349999999995,0.2604590063209255,78.09399999999998,overall
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,1.757550499038953,0.32517204518134535,5.339600000000006,0.25115786093831477,321.44000000000005,metal_catalyst
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,2.9138177192289008,0.8651409795404813,5.353910000000001,0.168240928102792,321.44000000000005,organocatalyst
[*]C(C)(C)C,1.2975194660003175,0.20798483770131887,1.4286099999999973,0.1540175491443913,57.116,metal_catalyst
[*]C(C)(C)C,1.0892296758064377,0.2621638698433182,1.3830600000000006,0.12812462856314769,57.116,organocatalyst
[*]C(C)C,1.1780443355706998,0.11412825406742837,1.124909999999998,0.10483265447580922,43.089,metal_catalyst
[*]C(C)C,1.1237873233548226,0.25582337808215644,1.1225600000000004,0.06493258384235505,43.089,organocatalyst
[*]C(F)(F)F,1.2128973302484956,0.16147389041669846,1.1088899999999986,0.19720469033187077,69.00500000000001,metal_catalyst
[*]C(F)(F)F,1.2003509650149113,0.230476008182799,1.04283,0.11834885391173948,69.00500000000001,organocatalyst
[*]C12CC3CC(CC(C2)C3)C1,1.460810259446786,0.23750116924228673,2.598909999999998,0.15401754914439264,135.23,metal_catalyst
[*]C12CC3CC(CC(C2)C3)C1,1.4172239069293162,0.36145146282719015,2.55336,0.12812462856314902,135.23,organocatalyst
[*]C1CCC2(CCCC2)CC1,1.567344392912621,0.2950374037304011,3.219510000000001,0.10483265447581093,137.246,metal_catalyst
[*]C1CCC2(CCCC2)CC1,1.2751308617281785,0.2971454800825836,3.2171600000000007,0.06493258384235533,137.246,organocatalyst
[*]C1CCCCC1,1.2449424093206771,0.19344810413329847,2.049209999999996,0.10483265447580906,83.15400000000001,metal_catalyst
[*]C1CCCCC1,1.2180796163610512,0.24199185159676428,2.04686,0.06493258384235516,83.15400000000001,organocatalyst
[*]C1CCCCCCC1,1.3438723453581414,0.22983038544620524,2.8294099999999993,0.1048326544758106,111.20800000000001,metal_catalyst
[*]C1CCCCCCC1,1.227737198657976,0.2710313539664053,2.82706,0.06493258384235524,111.20800000000001,organocatalyst
[*]C1CCCCCCCCC1,1.4444250661114988,0.24237483635603196,3.609610000000002,0.1048326544758114,139.262,metal_catalyst
[*]C1CCCCCCCCC1,1.2338215628967932,0.29392050234937084,3.607260000000001,0.06493258384235548,139.262,organocatalyst
[*]CCCCCC,1.1829616813503232,0.16265947018577534,2.2563099999999965,0.1277560909615618,85.17,metal_catalyst
[*]CCCCCC,1.2407325036852332,0.213399554657341,2.2337100000000003,0.15069936555200975,85.17,organocatalyst
[*]CCCCCCCC,1.2310235420867368,0.19242326162660187,3.03651,0.1277560909615618,113.224,metal_catalyst
[*]CCCCCCCC,1.2347410790513798,0.23070831979155554,3.01391,0.15069936555201055,113.224,organocatalyst
[*]CCCCCCCCCC,1.2893324378824442,0.20957614248491876,3.8167100000000027,0.12775609096155988,141.27800000000002,metal_catalyst
[*]CCCCCCCCCC,1.2334426623968127,0.26301118464276463,3.794110000000001,0.1506993655520107,141.27800000000002,organocatalyst
[*]N,1.2531568354985871,0.13846914960712844,-0.4739199999999995,0.23759258686527504,16.023,metal_catalyst
[*]N,1.4027855916699388,0.32756399573965217,-0.4775700000000002,0.13783373276846578,16.023,organocatalyst
