fragment_smiles,mean_fragment_effect_rejection_selectivity,std_fragment_effect_rejection_selectivity,mean_fragment_effect_logp_difference,std_fragment_effect_logp_difference,fragment_mw,type
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,1.606061499834435,0.326499382329648,5.3467550000000035,0.20818658249651512,321.44000000000005,overall
[*]C(C)(C)C,1.1696761420421953,0.09461411699321404,1.405834999999999,0.1398514146664622,57.116,overall
[*]C(C)C,1.152779418664794,0.08341204117159831,1.1237349999999993,0.08487847210168066,43.089,overall
[*]C(F)(F)F,1.1580334419440592,0.0805420177761945,1.0758599999999994,0.16187794102185057,69.00500000000001,overall
[*]C12CC3CC(CC(C2)C3)C1,1.438756741217012,0.14844061110613574,2.576134999999999,0.13985141466646359,135.23,overall
[*]C1CCC2(CCCC2)CC1,1.5785051188338357,0.4536166218536735,3.2183350000000006,0.08487847210168181,137.246,overall
[*]C1CCCCC1,1.2972646633389877,0.09534387305046196,2.048034999999998,0.08487847210168056,83.15400000000001,overall
[*]C1CCCCCCC1,1.4324484504758672,0.1348573316308056,2.8282349999999994,0.08487847210168156,111.20800000000001,overall
[*]C1CCCCCCCCC1,1.5790680660693133,0.1830486683930056,3.6084350000000014,0.08487847210168209,139.262,overall
[*]CCCCCC,1.2890993579636612,0.09090677424255598,2.2450099999999984,0.13646689554228186,85.17,overall
[*]CCCCCCCC,1.3854728206135258,0.11329377769573376,3.02521,0.13646689554228247,113.224,overall
[*]CCCCCCCCCC,1.4906867303894396,0.15171940145755333,3.805410000000002,0.1364668955422818,141.27800000000002,overall
[*]N,1.0139547936460545,0.13487864223173435,-0.47574499999999986,0.18905610271473428,16.023,overall
[*]N1CCCCC1,1.2125063267654947,0.09912157784788522,0.9919049999999994,0.1794730663710619,84.14200000000001,overall
[*]O,0.978244425485989,0.11022245206274907,-0.3448650000000002,0.24390879933847615,17.007,overall
[*]OC,1.0339890917025003,0.08038289032096871,0.08130500000000014,0.1943504525200208,31.034,overall
[*]c1ccccc1,1.2336861897970623,0.06820002827773175,1.5535349999999988,0.2604590063209252,77.106,overall
[*]c1ccncc1,1.1356846888837828,0.07442010736194989,0.9485349999999995,0.2604590063209255,78.09399999999998,overall
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,1.3618615563251573,0.13378677701604863,5.339600000000006,0.25115786093831477,321.44000000000005,metal_catalyst
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,1.8502614433437123,0.27318547281887035,5.353910000000001,0.168240928102792,321.44000000000005,organocatalyst
[*]C(C)(C)C,1.1294259702752796,0.09447267510750341,1.4286099999999973,0.1540175491443913,57.116,metal_catalyst
