fragment_smiles,mean_fragment_effect_rejection_selectivity,std_fragment_effect_rejection_selectivity,mean_fragment_effect_logp_difference,std_fragment_effect_logp_difference,fragment_mw,type
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,5.016092400326503,9.415487043252792,5.3467550000000035,0.20818658249651512,321.44000000000005,overall
[*]C(C)(C)C,1.5873515182771425,0.4997216211663567,1.405834999999999,0.1398514146664622,57.116,overall
[*]C(C)C,1.3558124746637508,0.3044560771076412,1.1237349999999993,0.08487847210168066,43.089,overall
[*]C(F)(F)F,1.384400462390873,0.3550625314220542,1.0758599999999994,0.16187794102185057,69.00500000000001,overall
[*]C12CC3CC(CC(C2)C3)C1,3.631518616638554,3.735862392124799,2.576134999999999,0.13985141466646359,135.23,overall
[*]C1CCC2(CCCC2)CC1,3.764592885560797,3.6858842101128233,3.2183350000000006,0.08487847210168181,137.246,overall
[*]C1CCCCC1,2.093750198686517,1.3680689445113197,2.048034999999998,0.08487847210168056,83.15400000000001,overall
[*]C1CCCCCCC1,3.2015508205564496,3.472663325925523,2.8282349999999994,0.08487847210168156,111.20800000000001,overall
[*]C1CCCCCCCCC1,3.767919190953678,3.6857022320753914,3.6084350000000014,0.08487847210168209,139.262,overall
[*]CCCCCC,1.4485672183744351,0.2862123044835861,2.2450099999999984,0.13646689554228186,85.17,overall
[*]CCCCCCCC,1.634290421709642,0.40140303144791956,3.02521,0.13646689554228247,113.224,overall
[*]CCCCCCCCCC,1.856951877375688,0.5733039941281314,3.805410000000002,0.1364668955422818,141.27800000000002,overall
[*]N,1.0653267528450914,0.11621646247099308,-0.47574499999999986,0.18905610271473428,16.023,overall
[*]N1CCCCC1,1.3321880712112704,0.2857592827077129,0.9919049999999994,0.1794730663710619,84.14200000000001,overall
[*]O,1.0328139852497276,0.10475736671821186,-0.3448650000000002,0.24390879933847615,17.007,overall
[*]OC,1.087871883374334,0.14523181061950924,0.08130500000000014,0.1943504525200208,31.034,overall
[*]c1ccccc1,1.3136082357394512,0.3308978986730983,1.5535349999999988,0.2604590063209252,77.106,overall
[*]c1ccncc1,1.2232273590083642,0.28652961443072356,0.9485349999999995,0.2604590063209255,78.09399999999998,overall
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,1.3991027384799082,0.2704422932177671,5.339600000000006,0.25115786093831477,321.44000000000005,metal_catalyst
CC1(C)CC2(CC(C)(C)C3=C2C=C(O[*])C=C3)C4=CC(OC)=CC=C41,8.633082062173099,12.570096761705766,5.353910000000001,0.168240928102792,321.44000000000005,organocatalyst
[*]C(C)(C)C,1.507269973435057,0.6079121455973832,1.4286099999999973,0.1540175491443913,57.116,metal_catalyst
[*]C(C)(C)C,1.667433063119228,0.37865795283287856,1.3830600000000006,0.12812462856314769,57.116,organocatalyst
[*]C(C)C,1.3305631256759995,0.38126425063092384,1.124909999999998,0.10483265447580922,43.089,metal_catalyst
[*]C(C)C,1.3810618236515015,0.22114954796827746,1.1225600000000004,0.06493258384235505,43.089,organocatalyst
[*]C(F)(F)F,1.1626624147968334,0.23013676343532224,1.1088899999999986,0.19720469033187077,69.00500000000001,metal_catalyst
[*]C(F)(F)F,1.6061385099849126,0.3223691843558332,1.04283,0.11834885391173948,69.00500000000001,organocatalyst
[*]C12CC3CC(CC(C2)C3)C1,5.116501246137409,4.924541635361229,2.598909999999998,0.15401754914439264,135.23,metal_catalyst
[*]C12CC3CC(CC(C2)C3)C1,2.146535987139699,0.5590892774099734,2.55336,0.12812462856314902,135.23,organocatalyst
[*]C1CCC2(CCCC2)CC1,5.261617355421443,4.809420838867383,3.219510000000001,0.10483265447581093,137.246,metal_catalyst
[*]C1CCC2(CCCC2)CC1,2.2675684157001514,0.755182191527616,3.2171600000000007,0.06493258384235533,137.246,organocatalyst
[*]C1CCCCC1,2.5562422209738127,1.8309228673364126,2.049209999999996,0.10483265447580906,83.15400000000001,metal_catalyst
[*]C1CCCCC1,1.6312581763992213,0.3515293212021571,2.04686,0.06493258384235516,83.15400000000001,organocatalyst
[*]C1CCCCCCC1,4.489642224061143,4.639490287736357,2.8294099999999993,0.1048326544758106,111.20800000000001,metal_catalyst
[*]C1CCCCCCC1,1.9134594170517556,0.4967673816989727,2.82706,0.06493258384235524,111.20800000000001,organocatalyst
[*]C1CCCCCCCCC1,5.300673985679542,4.786945192110918,3.609610000000002,0.1048326544758114,139.262,metal_catalyst
[*]C1CCCCCCCCC1,2.2351643962278147,0.7366043911398099,3.607260000000001,0.06493258384235548,139.262,organocatalyst
[*]CCCCCC,1.326763017956346,0.2203313020870765,2.2563099999999965,0.1277560909615618,85.17,metal_catalyst
[*]CCCCCC,1.5703714187925244,0.30235997174339796,2.2337100000000003,0.15069936555200975,85.17,organocatalyst
[*]CCCCCCCC,1.4482504359560437,0.26258856214086884,3.03651,0.1277560909615618,113.224,metal_catalyst
[*]CCCCCCCC,1.8203304074632398,0.44077850027815707,3.01391,0.15069936555201055,113.224,organocatalyst
[*]CCCCCCCCCC,1.6106450278199034,0.3913150975420274,3.8167100000000027,0.12775609096155988,141.27800000000002,metal_catalyst
[*]CCCCCCCCCC,2.1032587269314726,0.6371275026015195,3.794110000000001,0.1506993655520107,141.27800000000002,organocatalyst
[*]N,1.0453167679746658,0.09039040189872304,-0.4739199999999995,0.23759258686527504,16.023,metal_catalyst
[*]N,1.0853367377155168,0.13947410916532782,-0.4775700000000002,0.13783373276846578,16.023,organocatalyst
