,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,solute_category,membrane,solvent,solute_smiles,pressure,temperature,process_configuration,permeance,substructure_smarts,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,membrane_SM122,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v42c_fold0,rejection_mcmpnn_combi_v42c_fold4,rejection_mcmpnn_combi_v42c_fold2,rejection_mcmpnn_combi_v42c_fold1,rejection_mcmpnn_combi_v42c_fold3,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
0,0,0,0,0,0,0,ligand,GMT-oNF-2,Acetonitrile,CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,578.6320000000002,7.634600000000009,0,0,0,0,0,0,1,0,1,0,0.7929843,0.6418514,0.44972807,0.70656234,0.81263435,0.680752092,0.49917541593245185,0.8623287680675481
1,1,1,1,1,1,1,ligand,GMT-oNF-2,Acetonitrile,c1(P(c2ccccc2)c3ccccc3)ccccc1,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,262.292,3.4448000000000016,0,0,0,0,0,0,1,0,1,0,0.39944404,0.21178806,0.09712583,0.26770166,0.31491157,0.258194232,0.11750307273987012,0.3988853912601299
2,2,2,2,2,2,2,ligand,GMT-oNF-2,Acetonitrile,O=S(c1cccc(P(c2cc(S(=O)([O-])=O)ccc2)c3cc(S(=O)([O-])=O)ccc3)c1)([O-])=O,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,499.4600000000002,0.1571000000000002,0,0,0,0,0,0,1,0,1,0,0.8912866,1.0,1.0,0.9883312,0.9337858,0.96268072,0.9025675056616125,1.0227939343383876
3,3,3,3,3,3,3,ligand,GMT-oNF-2,Acetonitrile,P(c(c1c2c(P(c3ccccc3)c4ccccc4)ccc5c2cccc5)ccc6c1cccc6)(c7ccccc7)c8ccccc8,30,25,CF,0.153,P(c1ccccc1)(c2ccccc2)c3ccccc3,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,622.6880000000002,9.1764,0,0,0,0,0,0,1,0,1,0,0.8861698,0.7938123,0.61923516,0.8268205,0.90592766,0.806393084,0.6649917301441761,0.9477944378558238
4,4,4,4,4,4,4,ligand,GMT-oNF-2,Acetonitrile,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,30,25,CF,0.153,C1(P(C2CCCCC2)C3CCCCC3)CCCCC1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,280.436,6.466400000000006,0,0,0,0,0,0,1,0,1,0,0.1757372,0.35008234,0.047314048,0.15639073,0.37198424,0.22030171159999998,0.04932369767700681,0.39127972552299317
5,5,5,5,5,5,5,ligand,GMT-oNF-2,Acetonitrile,CC(C)(C)P(C(C)(C)C)Nc1cccc(c2ncccc2)n1,30,25,CF,0.153,c1(c2ncccc2)ncccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,315.401,5.549400000000005,0,0,0,0,0,0,1,0,1,0,0.60876036,0.3284775,0.5964051,0.53994596,0.51619697,0.517957178,0.37804466329436737,0.6578696927056326
6,6,6,6,6,6,6,ligand,GMT-oNF-2,Acetonitrile,c1(NP(c2ccccc2)c3ccccc3)nc(NP(c4ccccc4)c5ccccc5)ccc1,30,25,CF,0.153,[NH]c1nc([NH])ccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,477.4880000000001,6.001200000000004,0,0,0,0,0,0,1,0,1,0,0.61867976,0.542768,0.53857183,0.5515343,0.5731748,0.564945738,0.5241293303289081,0.605762145671092
7,7,7,7,7,7,7,ligand,GMT-oNF-2,Acetonitrile,CC(C)(C)P(C(C)(C)C)Nc1cccc(NP(c2ccccc2)c3ccccc3)n1,30,25,CF,0.153,[NH]c1nc([NH])ccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,437.50800000000015,6.947200000000007,0,0,0,0,0,0,1,0,1,0,0.71102047,0.417867,0.5697275,0.51330894,0.49399027,0.541182836,0.4053489550037688,0.6770167169962311
8,8,8,8,8,8,8,ligand,GMT-oNF-2,Acetonitrile,CC(C)(C)P(C(C)(C)C)Nc1nc(NP(C(C)(C)C)C(C)(C)C)ccc1,30,25,CF,0.153,[NH]c1nc([NH])ccc1,GMT-oNF,300,87.0,-8.0,0,0,C(C)#N,41.053,-0.33,0.34,786.0,37.5,15.3,18.0,6.1,52.6,397.5280000000002,7.893200000000008,0,0,0,0,0,0,1,0,1,0,0.33824652,0.029763281,0.43191117,0.6278582,0.107928395,0.30714151320000005,0.005530406767000784,0.6087526196329993
