solute_smiles,NPR1,NPR2,RoG,Asphericity,Eccentricity,InertialShapeFactor,SpherocityIndex
Cl[Pd]([P](c1ccccc1)(c2ccccc2)c3ccccc3)(Cl)[P](c4ccccc4)(c5ccccc5)c6ccccc6,0.7943360877794705,0.955386116742363,3.8341889311277897,0.01857569458572461,0.6074785425438542,0.00016025257234916394,0.8092086016703665
Cl[Ru](=Cc1ccccc1OC(C)C(C)=O)(Cl)=C2N(CCN2c3c(C)cc(C)cc3C)c4c(C)cc(C)cc4C,0.5206061991015313,0.9119998448070271,3.7402077038624304,0.13206477882022485,0.853796922843516,0.00023266474579755958,0.5389558882853815
Cl[Ru]1([P](c2ccccc2)(c(c3c4c([P]1(c5ccccc5)c6ccccc6)ccc7ccccc47)ccc8c3cccc8)c9ccccc9)Cl,0.7881735315011704,0.8400242111992391,4.10410328894037,0.021180458986145238,0.6154530723304366,0.00010463522103481192,0.8104036629575864
COc1cc(c2cc(OC)cc(C(C)(C)C)c2O[P]34Oc5c(c6c(O3)cccc6)cccc5)c(O[P]7(Oc8c(c9c(O7)cccc9)cccc8)[Rh+]4%10O[C-](C=C(C)O%10)C)c(C(C)(C)C)c1,0.9400753969709746,0.9588724243958436,4.487731294305979,0.001341226047105632,0.3409666376786216,7.42404656220915e-05,0.9462109511862138
COc1c(c2c(OC)cccc2[P](c3cc(C(C)(C)C)c(OC)c(C(C)(C)C)c3)([Ir+][P]4(c5cc(C(C)(C)C)c(OC)c(C(C)(C)C)c5)c6cc(C(C)(C)C)c(OC)c(C(C)(C)C)c6)c7cc(C(C)(C)C)c(OC)c(C(C)(C)C)c7)c4ccc1,0.7260039430848804,0.9696757944012181,5.308935065116241,0.037257508384114214,0.6876905369606345,4.753076390359662e-05,0.7362425203828677
COc1cc(C(C)(C)C)c(OP2Oc3ccccc3c4ccccc4O2)c(c5cc(OC)cc(C(C)(C)C)c5OP6Oc7ccccc7c8ccccc8O6)c1,0.8162762636389689,0.9382476463063311,4.62668409216565,0.013824174040899495,0.5776617188455581,9.39926566967146e-05,0.8551386529278708
O=C(O[Pd]1([P](CCCC[P]1(c2ccccc2)c3ccccc3)(c4ccccc4)c5ccccc5)OC(C(F)(F)F)=O)C(F)(F)F,0.8094228583896924,0.944054240343452,3.786445610996224,0.015188063083691678,0.5872262224358344,0.00014757368891743614,0.7495827211906622
O=C(C)O[Pd]1([P](c2ccccc2)(c3ccccc3)CCC[P](c4ccccc4)1c5ccccc5)OC(C)=O,0.552333672626913,0.9401369961157776,3.8524337498833248,0.11408781314701107,0.8336231247287145,0.000224391542266046,0.5538323288862592
O=C(O[Pd]([P]1(c2ccccc2)c3ccccc3)(OC(C)=O)[P](c4ccccc4)(C5=C1C=CC=C5)c6ccccc6)C,0.6575416740239917,0.7978420172082624,3.7881929866278212,0.058992344795755026,0.7534181753327476,0.0001547071979137466,0.5798908910722623
O=C(/C=C/c1cc(c2cc(/C=C/C(OC)=O)cc(C(C)(C)C)c2OP3Oc4c(c5c(O3)cccc5)cccc4)c(OP6Oc7c(c8c(O6)cccc8)cccc7)c(C(C)(C)C)c1)OC,0.5260931011381791,0.9550981733132666,5.489302724502846,0.1334075981925664,0.850426980366224,8.352369466531345e-05,0.612049222344855
O=C[Rh]([P](c1ccccc1)(c2ccccc2)c3ccccc3)([H])([P](c4ccccc4)(c5ccccc5)c6ccccc6)[P](c7ccccc7)(c8ccccc8)c9ccccc9,0.6967003849960643,0.8372359623058608,4.458254803859331,0.04305766184671836,0.7173622331474774,8.327997279581512e-05,0.6496553232441955
CC1(C)c2cccc(P(c3ccccc3)c4ccccc4)c2Oc5c(P(c6ccccc6)c7ccccc7)cccc15,0.5358298555382485,0.8551477513233332,4.415966589243254,0.11838845491071058,0.8443259832042715,0.0001690852630353729,0.5427221804976154
C1(C2=CC=CC=C23)=[N]([Ir]345([N]6=C(C7=CC=CC=C75)C=CC=C6)[N]8=C(C9=CC=CC=C94)C=CC=C8)C=CC=C1,0.671298612604861,0.8257597047481913,3.34218054786447,0.05204641486332565,0.7411870025268852,0.00020997751124143037,0.6676646303613176
CC(C)(C)C1=CC(C2=[N]3C=CC(C(C)(C)C)=C2)=[N]([Ir+]453([N]6=C(C7=C5C=CC=C7)C=CC=C6)C8=CC=CC=C8C9=CC=CC=[N]94)C=C1,0.5856090179293992,0.7793987673857772,4.467985064068831,0.09223214107810881,0.8105936578334205,0.00010251843053803034,0.43144244393407644
CC(C)(C)C1=CC=[N]([Ir+]23([N]4=C(C5=C3C=C(F)C=C5F)C=CC(C(F)(F)F)=C4)6C(C=C(C(F)(F)F)C=C7)=C7C8=C(F)C=C(F)C=[N]82)C(C9=[N]6C=CC(C(C)(C)C)=C9)=C1,0.7950524704829083,0.907001656934443,4.477423318689358,0.017308304841721352,0.6065406574822699,7.8694374236935e-05,0.6823252559259774
FC(C(C=C1)=C[N]2=C1C3=CC=CC=[N]3[Ir+]245([N]6=CC=CC=C6C7=C5C=C(C(F)(F)F)C=C7)[N]8=C(C9=C4C=C(C(F)(F)F)C=C9)C=CC=C8)(F)F,0.6472987478598032,0.8531751999962041,4.148930000333459,0.06024621376819811,0.7622364010063616,0.0001112144994432387,0.8436652540949799
Fc1cc2c(c3c([Ir+]245(n6cccc(F)c6c7cc(C(C)(C)C)ccn75)n8c(c9c(F)cccn94)cc(C(C)(C)C)cc8)cc(F)cc3F)c(F)c1,0.5658095222272366,0.7553096018932288,4.466958490924256,0.1055406338049872,0.8245359813598108,8.853724375654569e-05,0.4323121722518597
FC1=CC=C(C2=[N]([Ir+]345([N]6=CC=C(C(C)(C)C)C=C6C7=[N]5C=CC(C(C)(C)C)=C7)C8=C(C9=[N]4C=CC=C9)C=CC(F)=C8)C=CC=C2)C3=C1,0.7506517229152231,0.889845735499991,4.012090232779656,0.026873336374338305,0.6606981087337902,0.00012078216898950605,0.5618354477931615
