,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_PBI,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_PMS600,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v40_fold3,rejection_mcmpnn_combi_v40_fold1,rejection_mcmpnn_combi_v40_fold4,rejection_mcmpnn_combi_v40_fold0,rejection_mcmpnn_combi_v40_fold2,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
792,792,792,792,792,792,792,PMPerformance,Toluene,NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1,NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,247.251,-0.4550000000000002,247.251,-0.4550000000000002,0,0,0,1,0,0,0,0,0,0,1,0,0.23144928,0.2895192,0.2735681,0.21752545,0.38108397,0.2786292,0.19863866527078639,0.35861973472921366
793,793,793,793,793,793,793,PMPerformance,Toluene,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,COC(=O)CCC1=CC=C(OCC(O)CNC(C)C)C=C1,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,295.379,1.5298999999999996,295.379,1.5298999999999996,0,0,0,1,0,0,0,0,0,0,1,0,0.29164964,0.3986179,0.37301347,0.27218324,0.36264747,0.339622344,0.2716844500513008,0.4075602379486992
794,794,794,794,794,794,794,PMPerformance,Toluene,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,CCCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,238.287,1.3510999999999995,238.287,1.3510999999999995,0,0,0,1,0,0,0,0,0,0,1,0,0.45147908,0.4543157,0.56279993,0.388335,0.6412913,0.499644202,0.37421641314665094,0.6250719908533491
795,795,795,795,795,795,795,PMPerformance,Toluene,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,351.40900000000005,1.95092,351.40900000000005,1.95092,0,0,0,1,0,0,0,0,0,0,1,0,0.62479335,0.72940016,0.7081392,0.64813614,0.7994482,0.70198341,0.616077687948036,0.787889132051964
796,796,796,796,796,796,796,PMPerformance,Toluene,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,BrCCC(=O)N1CCN(CC1)C(=O)CCBr,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,356.058,1.2272,356.058,1.2272,0,0,0,1,0,0,0,0,0,0,1,0,0.32107717,0.5933633,0.6139344,0.2757404,0.3537416,0.43157137399999995,0.23331041174538963,0.6298323362546103
797,797,797,797,797,797,797,PMPerformance,Toluene,CCCC(CCC)C(O)=O,CCCC(CCC)C(O)=O,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,144.214,2.2874,144.214,2.2874,0,0,0,1,0,0,0,0,0,0,1,0,0.24408558,0.3729,0.24877936,0.20552522,0.3357396,0.28140595199999996,0.1946259488250885,0.36818595517491143
798,798,798,798,798,798,798,PMPerformance,Toluene,[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1,[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,444.5240000000001,2.968320000000001,444.5240000000001,2.968320000000001,0,0,0,1,0,0,0,0,0,0,1,0,0.5739447,0.7573066,0.6333455,0.5097523,0.7034258,0.63555498,0.5128610342627972,0.7582489257372028
799,799,799,799,799,799,799,PMPerformance,Toluene,OCCS(O)(=O)=O,OCCS(O)(=O)=O,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,126.13299999999998,-1.1334999999999995,126.13299999999998,-1.1334999999999995,0,0,0,1,0,0,0,0,0,0,1,0,0.12249932,-0.04615265,-0.0709641,0.2378748,0.48221338,0.14509414999999998,-0.13670111585844702,0.426889415858447
800,800,800,800,800,800,800,PMPerformance,Toluene,BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12,BrC1=C(NC2=NCCN2)C=CC2=NC=CN=C12,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,292.14000000000004,1.7634,292.14000000000004,1.7634,0,0,0,1,0,0,0,0,0,0,1,0,0.35712123,0.34572935,0.32490963,0.20906392,0.43953946,0.335272718,0.23233003633398697,0.4382153996660131
801,801,801,801,801,801,801,PMPerformance,Toluene,C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C1C(O)=C1C(=O)C3=CC=CC=C3C(=O)C1=C2O)C(C)=O,C[C@@H]1O[C@H](C[C@H](N)[C@@H]1O)O[C@H]1C[C@@](O)(CC2=C1C(O)=C1C(=O)C3=CC=CC=C3C(=O)C1=C2O)C(C)=O,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,497.5000000000003,1.0202999999999995,497.5000000000003,1.0202999999999995,0,0,0,1,0,0,0,0,0,0,1,0,0.66920966,0.79633796,0.73107654,0.7296392,0.65662235,0.716577142,0.6469417804139298,0.7862125035860702
802,802,802,802,802,802,802,PMPerformance,Toluene,CC(C)NCC(O)C1=CC(O)=CC(O)=C1,CC(C)NCC(O)C1=CC(O)=CC(O)=C1,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,211.261,1.1291999999999998,211.261,1.1291999999999998,0,0,0,1,0,0,0,0,0,0,1,0,0.4083731,0.30254233,0.42815974,0.2713234,0.37042123,0.35616396,0.2724421552341173,0.4398857647658827
803,803,803,803,803,803,803,PMPerformance,Toluene,CC(C)(C)NCC(O)C1=NC(CO)=C(O)C=C1,CC(C)(C)NCC(O)C1=NC(CO)=C(O)C=C1,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,240.303,0.7009999999999998,240.303,0.7009999999999998,0,0,0,1,0,0,0,0,0,0,1,0,0.4392794,0.35554087,0.3258614,0.27125505,0.4038042,0.359148184,0.277581638953355,0.44071472904664494
804,804,804,804,804,804,804,PMPerformance,Toluene,CC1=CC(=O)N(O)C(=C1)C1CCCCC1,CC1=CC(=O)N(O)C(=C1)C1CCCCC1,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,207.273,2.44172,207.273,2.44172,0,0,0,1,0,0,0,0,0,0,1,0,0.26165268,0.48175395,0.40819806,0.287992,0.44460246,0.37683983,0.25622557471188956,0.4974540852881104
805,805,805,805,805,805,805,PMPerformance,Toluene,[H][C@@]12CC[C@H](C(=O)NC(C)(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C,[H][C@@]12CC[C@H](C(=O)NC(C)(C)C)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])NC(=O)C=C[C@]12C,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,372.5530000000001,3.8145000000000016,372.5530000000001,3.8145000000000016,0,0,0,1,0,0,0,0,0,0,1,0,0.7572685,0.8146026,0.7068012,0.62691814,0.7248603,0.726090148,0.6404801233370614,0.8117001726629387
806,806,806,806,806,806,806,PMPerformance,Toluene,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,219.281,-1.4542999999999997,219.281,-1.4542999999999997,0,0,0,1,0,0,0,0,0,0,1,0,0.095318496,0.2330144,0.19204977,0.0149896145,0.10207176,0.12748880810000002,0.02060325796373852,0.23437435823626152
807,807,807,807,807,807,807,PMPerformance,Toluene,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,CCOC(=O)CC(SP(=S)(OC)OC)C(=O)OCC,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,330.3640000000001,2.1218000000000004,330.3640000000001,2.1218000000000004,0,0,0,1,0,0,0,0,0,0,1,0,0.35764545,0.61891484,0.6077865,0.577226,0.74155605,0.580625768,0.40742132327277564,0.7538302127272243
808,808,808,808,808,808,808,PMPerformance,Toluene,FC(F)(F)C1=CC(=CC=C1)N1CCN(CCOC(=O)C2=CC=CC=C2NC2=C3C=CC(=CC3=NC=C2)C(F)(F)F)CC1,FC(F)(F)C1=CC(=CC=C1)N1CCN(CCOC(=O)C2=CC=CC=C2NC2=C3C=CC(=CC3=NC=C2)C(F)(F)F)CC1,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,588.5520000000001,6.995000000000006,588.5520000000001,6.995000000000006,0,0,0,1,0,0,0,0,0,0,1,0,0.8893862,0.9256505,0.9077231,0.871263,0.85196245,0.8891970499999999,0.8531024632253367,0.9252916367746632
809,809,809,809,809,809,809,PMPerformance,Toluene,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1,CC(C(O)=O)C1=CC(F)=C(C=C1)C1=CC=CC=C1,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,244.265,3.6808000000000014,244.265,3.6808000000000014,0,0,0,1,0,0,0,0,0,0,1,0,0.34144908,0.5502838,0.28139862,0.28268793,0.3721283,0.365589546,0.22858629227029367,0.5025927997297063
810,810,810,810,810,810,810,PMPerformance,Toluene,NC(=O)NO,NC(=O)NO,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,76.05499999999999,-0.9561000000000002,76.05499999999999,-0.9561000000000002,0,0,0,1,0,0,0,0,0,0,1,0,0.26715603,0.037104428,0.44163716,0.042167008,0.48916605,0.2554461352,-0.009839021277350979,0.520731291677351
811,811,811,811,811,811,811,PMPerformance,Toluene,OCCNCCNC1=C2C(=O)C3=C(O)C=CC(O)=C3C(=O)C2=C(NCCNCCO)C=C1,OCCNCCNC1=C2C(=O)C3=C(O)C=CC(O)=C3C(=O)C2=C(NCCNCCO)C=C1,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,444.4880000000003,-0.1392000000000001,444.4880000000003,-0.1392000000000001,0,0,0,1,0,0,0,0,0,0,1,0,0.61357343,0.4284732,0.61375403,0.6643459,0.6685449,0.5977382920000001,0.4757513981135961,0.719725185886404
812,812,812,812,812,812,812,PMPerformance,Toluene,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,345.4240000000001,2.8997400000000013,345.4240000000001,2.8997400000000013,0,0,0,1,0,0,0,0,0,0,1,0,0.56736034,0.59209937,0.57788235,0.62442815,0.6491484,0.602183722,0.5600520739907495,0.6443153700092505
813,813,813,813,813,813,813,PMPerformance,Toluene,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=C(O)C=C1)C(O)=O,[H][C@]12SCC(CSC3=NN=NN3C)=C(N1C(=O)[C@H]2NC(=O)C(NC(=O)N1CCN(CC)C(=O)C1=O)C1=CC=C(O)C=C1)C(O)=O,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,645.6800000000004,-1.111999999999995,645.6800000000004,-1.111999999999995,0,0,0,1,0,0,0,0,0,0,1,0,0.7870361,0.86712486,0.843573,0.85153514,0.85439,0.8407318199999999,0.8020048751729852,0.8794587648270146
814,814,814,814,814,814,814,PMPerformance,Toluene,CC1=NC=C(CO)C(C=O)=C1O,CC1=NC=C(CO)C(C=O)=C1O,0.5,30,25,0.717,CF,fda,PM,300,-1.0,0.0,1,1,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,167.164,0.4004199999999998,167.164,0.4004199999999998,0,0,0,1,0,0,0,0,0,0,1,0,0.055913627,-0.023361623,-0.061177135,0.03536737,0.030892134,0.0075268746,-0.05246183951360765,0.06751558871360765
