,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,membrane,solvent,solute_smiles,secondary_solute_smiles,secondary_solute_ratio,pressure,temperature,permeance,process_configuration,solute_category,membrane_family,mwco,contact_angle,zeta_potential,contact_angle_missing,zeta_potential_missing,solvent_smiles,solvent_mw,solvent_logp,solvent_viscosity,solvent_density,solvent_dielectric_constant,solvent_dd,solvent_dp,solvent_dh,solvent_molar_volume,solute_mw,solute_logp,secondary_solute_mw,secondary_solute_logp,membrane_SM122,membrane_PBI,membrane_DM500,membrane_PMPerformance,membrane_DM300,membrane_SS150101,membrane_PMS600,membrane_SS336,membrane_GMT-oNF-2,membrane_DM150,process_configuration_CF,process_configuration_DE,rejection_mcmpnn_combi_v40_fold3,rejection_mcmpnn_combi_v40_fold1,rejection_mcmpnn_combi_v40_fold4,rejection_mcmpnn_combi_v40_fold0,rejection_mcmpnn_combi_v40_fold2,mcmpnn_rejection_mean_predicted,mcmpnn_rejection_ci_lower,mcmpnn_rejection_ci_upper
997,997,997,997,997,997,997,GMT-oNF-2,Toluene,N[C@@H](CSCCCC\C=C(/NC(=O)[C@H]1CC1(C)C)C(=O)O)C(=O)O,N[C@@H](CSCCCC\C=C(/NC(=O)[C@H]1CC1(C)C)C(=O)O)C(=O)O,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,358.4600000000001,1.4326,358.4600000000001,1.4326,0,0,0,0,0,0,0,0,1,0,1,0,0.6833919,0.7154748,0.6680312,0.6597875,0.7081453,0.68696614,0.6567341960393944,0.7171980839606056
998,998,998,998,998,998,998,GMT-oNF-2,Toluene,CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1,CC(C(O)=O)C1=CC2=C(C=C1)C1=C(N2)C=CC(Cl)=C1,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,273.71900000000005,4.162600000000002,273.71900000000005,4.162600000000002,0,0,0,0,0,0,0,0,1,0,1,0,0.61575997,0.5637907,0.5717171,0.43045884,0.53852594,0.54405051,0.45795619670308674,0.6301448232969133
999,999,999,999,999,999,999,GMT-oNF-2,Toluene,CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2,CN(C)CCC1=CNC2=C1C=C(CN1C=NC=N1)C=C2,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,269.352,1.9118,269.352,1.9118,0,0,0,0,0,0,0,0,1,0,1,0,0.5581608,0.474826,0.550451,0.37691522,0.4269035,0.47745130399999997,0.38025102750132495,0.574651580498675
1000,1000,1000,1000,1000,1000,1000,GMT-oNF-2,Toluene,OCC(S)CS,OCC(S)CS,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,124.23,0.2069,124.23,0.2069,0,0,0,0,0,0,0,0,1,0,1,0,0.094334304,-0.010899186,0.17561126,0.25691113,0.24984998,0.1531614976,0.0129672570296685,0.2933557381703315
1001,1001,1001,1001,1001,1001,1001,GMT-oNF-2,Toluene,[H][C@](NC(=O)N1CCNC1=O)(C(=O)N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])C1=CC=CC=C1,[H][C@](NC(=O)N1CCNC1=O)(C(=O)N[C@@H]1C(=O)N2[C@@H](C(O)=O)C(C)(C)S[C@]12[H])C1=CC=CC=C1,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,461.50000000000017,0.0942000000000029,461.50000000000017,0.0942000000000029,0,0,0,0,0,0,0,0,1,0,1,0,0.8217355,0.7772891,0.7855888,0.7274178,0.7663553,0.7756773,0.7333965325327982,0.8179580674672018
1002,1002,1002,1002,1002,1002,1002,GMT-oNF-2,Toluene,O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1,O=C1C(C(=O)C2=CC=CC=C12)C1=CC=CC=C1,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,222.243,2.849400000000001,222.243,2.849400000000001,0,0,0,0,0,0,0,0,1,0,1,0,0.35550064,0.3110831,0.44425976,0.36598378,0.50599176,0.3965638080000001,0.3000296148586216,0.49309800114137853
1003,1003,1003,1003,1003,1003,1003,GMT-oNF-2,Toluene,CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1,CN1CCC(CC1)OC(C1=CC=CC=C1)C1=CC=CC=C1,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,281.399,3.886800000000004,281.399,3.886800000000004,0,0,0,0,0,0,0,0,1,0,1,0,0.57393223,0.52673304,0.5867164,0.44235507,0.666063,0.5591599479999999,0.4569567356762952,0.6613631603237046
1004,1004,1004,1004,1004,1004,1004,GMT-oNF-2,Toluene,S=P(N1CC1)(N1CC1)N1CC1,S=P(N1CC1)(N1CC1)N1CC1,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,189.224,0.1577000000000001,189.224,0.1577000000000001,0,0,0,0,0,0,0,0,1,0,1,0,0.6354316,0.8427162,0.6968275,0.73253,0.9003296,0.76156698,0.6272823802671279,0.8958515797328721
1005,1005,1005,1005,1005,1005,1005,GMT-oNF-2,Toluene,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(=O)OC)N2C,[H][C@]12CC[C@]([H])([C@H]([C@H](C1)OC(=O)C1=CC=CC=C1)C(=O)OC)N2C,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,303.35800000000006,1.8677,303.35800000000006,1.8677,0,0,0,0,0,0,0,0,1,0,1,0,0.5312936,0.6391126,0.7149004,0.4469338,0.5195005,0.57034818,0.43869995935989103,0.7019964006401089
1006,1006,1006,1006,1006,1006,1006,GMT-oNF-2,Toluene,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,NCC[C@H](O)C(=O)N[C@@H]1C[C@H](N)[C@@H](O[C@H]2O[C@H](CN)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O[C@H]1O[C@H](CO)[C@@H](O)[C@H](N)[C@H]1O,0.5,30,25,0.341,CF,fda,GMT-oNF,300,87.0,-8.0,0,0,Cc1ccccc1,92.141,2.73,0.59,867.0,2.38,18.0,1.4,2.0,106.8,585.6080000000002,-8.424200000000015,585.6080000000002,-8.424200000000015,0,0,0,0,0,0,0,0,1,0,1,0,0.7415015,0.52820766,0.5782462,0.56174964,0.66890585,0.6157221700000001,0.5070761879804521,0.7243681520195481
