Unnamed: 0,OPTIMAL,SOLVENT_REC,SOLUTE_REC,SEP_FACTOR,MOLAR_POWER,FINAL_CONC1,FINAL_CONC2,FEED_PRESSURE,DILUTION_0,PERMEATE_PRESSURE_0,DILUTION_1,PERMEATE_PRESSURE_1,DILUTION_2,PERMEATE_PRESSURE_2,OMEGA_1,OMEGA_2,EVAP_ENERGY,ENERGY_REDUCTION,EUR_GWP_REDUCTION,USA_GWP_REDUCTION,IND_GWP_REDUCTION,CHN_GWP_REDUCTION,MOLAR_POWER_KW,EUR_COST_REDUCTION,USA_COST_REDUCTION,IND_COST_REDUCTION,CHN_COST_REDUCTION,EUR_BREAKEVEN_COST,USA_BREAKEVEN_COST,IND_BREAKEVEN_COST,CHN_BREAKEVEN_COST,NF_ENERGY,EVAP_ENERGY_THERMAL,EVAP_ENERGY_ELECTRIC
0.0,1.0,0.9994366458558002,0.1005326575817369,100.00000097494096,746.4109348058279,178.16901502281738,17.816901328577465,39.281619834037386,0.0007738163314496,0.3180465934255809,0.0008080949932061,0.3684557372793517,0.0008152342391245,7.4777100522356195,0.0015270438089003,0.3358223758258822,126481866.45993547,0.6065781571715068,0.5252251580237378,0.5223058508739293,0.3688519215730996,0.4110344488810617,20.733637077939665,-2.0012522807421362,-7.50343454938238,-8.386563223865364,-11.319084328305113,18.147740219765538,5.2315547702262055,5.356265051265834,4.02013071874407,49760728.98705519,65204856.93269755,61277009.52723792
5.0,1.0,0.9982012957968356,0.1999999900474185,63.16848698508954,352.40204149875564,111.19115069401954,17.602313432054405,40.00000039445782,-1.5370194015421224e-10,4.252158710233488e-09,-1.51700646773544e-10,5.346569661469881e-09,-1.4919933506524374e-10,20.3266133718386,-2.481955262936938e-10,2.1664065169270762e-08,126051833.67589842,0.8136205658566122,0.7722853295798732,0.770926531147819,0.6995010360469671,0.7191349933610865,9.788945597187658,-0.49475434293528936,-3.2646273206274143,-3.711149797663027,-5.187873735199457,59.81576982344376,18.12063396198063,16.832521694603656,12.643452856328365,23493469.43325038,64983163.286451526,61068670.38944689
10.0,1.0,0.994914310614168,0.2999999901652365,34.97952699287363,234.2778682738348,58.98905092647387,16.863878959395787,40.00000038461757,-4.1878905517788525e-11,2.935280659947411e-08,-3.0204992657783286e-11,3.2834029219235414e-08,1.2882251302246127e-11,21.23312535673432,-7.246326284420028e-11,1.1135304104064623e-06,125039510.88856782,0.8750912856216477,0.8473003807472655,0.8463905015822633,0.7985625321725602,0.8117098307455024,6.507718563162078,-0.004075416715584556,-1.8655810932860648,-2.1657265520264275,-3.158179085182406,99.5074759694071,30.378342701390213,27.78323420950199,20.871637180082704,15618524.551588988,64461283.23862261,60578227.64994521
15.0,1.0,0.9900905358986742,0.3999999903259221,24.306288644946893,175.79092889455154,40.36545125676529,16.60699905543045,40.00000037108774,1.2347281638569375e-10,6.361153107953259e-08,1.5573245444118122e-10,7.093324450281775e-08,3.32764421943606e-10,21.225834859311107,1.9039527933807487e-10,0.0559520931275322,124044666.669072,0.9055227800248604,0.8845138289913995,0.8838255261220747,0.8476447563617298,0.8575903883529894,4.883081358181987,0.24084117667184568,-1.1664884178844759,-1.3933960849507456,-2.1437051761152826,138.49955530855837,42.418864249874865,38.541979210654226,28.95556676016221,11719395.25963677,63948413.86992861,60096252.7991434
20.0,1.0,0.983225089228266,0.4999999904897426,18.091175532431333,141.47372403891185,29.806417266298407,16.47566638932093,40.00000035310933,7.111103849014412e-10,1.092145543132604e-07,5.516416459285551e-10,1.2146563646258154e-07,4.7804111506496156e-12,20.055449441198565,1.782214859325251e-11,0.1727331323417288,122928376.0550058,0.9232757976207719,0.906330314660382,0.9057703477642323,0.8763355825672253,0.8844268239735769,3.9298256677475516,0.38651301890561585,-0.7496086029257477,-0.9327131074559073,-1.5384117271984041,176.5373044292929,54.16276407364299,49.039212907922874,36.842978219462935,9431581.602594124,63372935.567601725,59555440.48740408
25.0,1.0,0.978695500120402,0.549999990565362,15.71416229365918,129.40670388105806,25.816141796200487,16.428582901054522,40.0000003417917,1.0034169499178991e-09,1.3820646091402932e-07,7.982524517865481e-10,1.529314310808873e-07,3.1611314290705547e-10,18.987399121033462,2.9147331036232443e-10,0.2478645369943508,122268785.48534721,0.9294414060152383,0.9139668963067279,0.9134509833740347,0.886331923050402,0.893786606732208,3.594630663362724,0.4386635848178597,-0.5997784520236071,-0.7670685713248107,-1.3206747134079695,195.03788414655477,59.87353907881636,54.14587867433059,40.68001087903726,8627113.592070537,63032898.61264132,59235886.8727059
30.0,1.0,0.9731285506957932,0.5999999906350318,13.626047441330137,119.7754992640684,22.328531019280494,16.386652927358988,40.00000032830455,1.3486070362949207e-09,1.7320095234448017e-07,1.1256062168644601e-09,1.898975946826652e-07,8.083525922279264e-10,17.516089364717597,6.890086877327173e-10,0.33157769769407,121499213.59648779,0.9342791360708688,0.920024153374753,0.9195422408998711,0.8942104210348223,0.9011738151172441,3.3270972017796776,0.4812881023196063,-0.47669383884089944,-0.6309173020701087,-1.141604758819503,213.03598711168402,65.4278835516448,59.1150892407162,44.413746911324644,7985033.284271226,62636163.28356236,58863050.31292543
35.0,1.0,0.9661477755173024,0.6499999906985078,11.746916915363045,112.27685482432554,19.201101214481056,16.345651674244124,40.00000031190992,1.764850461511474e-09,2.1655246159416418e-07,1.553950919954888e-09,2.338932760399551e-07,1.4601949858593992e-09,15.50460438332044,1.2194540476113059e-09,0.4228450281375321,120571371.74955943,0.9379195612827356,0.9246895871480578,0.9242323314902215,0.9001966018498457,0.906803717265798,3.1188015228979316,0.5161636643148008,-0.375003377664512,-0.5183134117817207,-0.9933461178602481,230.3262429531656,70.76154304935905,63.8909631327081,48.002187915858556,7485123.654955036,62157835.468054526,58413536.28150491
40.0,1.0,0.9571630584034324,0.6999999907563286,10.02455366952326,106.94516086167326,16.341035600622277,16.301010637812677,40.000000291509,2.2798143405475035e-09,2.71982608733094e-07,2.1110708134645483e-09,2.870156255307947e-07,2.2627768046683544e-09,12.69514883465338,1.9095721108483587e-09,0.5211610606519753,119411945.95655777,0.9402934326740475,0.9279362321617893,0.9274932859183643,0.9042097333373813,0.9106100848764305,2.970698912824257,0.5442391430687668,-0.2914202938061309,-0.4255555219560191,-0.8709421938301252,246.56236960005387,75.76587640307051,68.37955734586097,51.37472623964715,7129677.390778217,61560119.802776136,57851826.15378163
45.0,1.0,0.9452043711647062,0.7499999908100773,8.424620463987825,104.39594959424146,13.687222909098397,16.246693803722405,40.00000026545632,2.935508615917493e-09,3.455636775764865e-07,2.8364717730095114e-09,3.5204506956118335e-07,3.222402576275914e-09,8.572676747944938,2.8073183068404036e-09,0.6262265207068352,117902741.68933174,0.9409705841167969,0.9293707741400776,0.9289275090907461,0.905627198417336,0.9120321565421835,2.8998874887289294,0.5655160027140212,-0.22461060146290893,-0.3510082942490759,-0.7720270533902612,261.10794362105526,80.24044638839825,72.40893619321736,54.40212547092547,6959729.97294943,60782083.78005614,57120657.9092756
