Unnamed: 0,OPTIMAL,SOLVENT_REC,SOLUTE_REC,SEP_FACTOR,MOLAR_POWER,FINAL_CONC1,FINAL_CONC2,FEED_PRESSURE,DILUTION_0,PERMEATE_PRESSURE_0,DILUTION_1,PERMEATE_PRESSURE_1,DILUTION_2,PERMEATE_PRESSURE_2,OMEGA_1,OMEGA_2,EVAP_ENERGY,ENERGY_REDUCTION,EUR_GWP_REDUCTION,USA_GWP_REDUCTION,IND_GWP_REDUCTION,CHN_GWP_REDUCTION,MOLAR_POWER_KW,EUR_COST_REDUCTION,USA_COST_REDUCTION,IND_COST_REDUCTION,CHN_COST_REDUCTION,EUR_BREAKEVEN_COST,USA_BREAKEVEN_COST,IND_BREAKEVEN_COST,CHN_BREAKEVEN_COST,NF_ENERGY,EVAP_ENERGY_THERMAL,EVAP_ENERGY_ELECTRIC
0.0,1.0,0.3545574187396503,0.9681638608565164,1.4151791358104011,9.519080103147674,1.4999999850458283,10.599364752412452,11.48403578865308,-7.117116688653762e-10,3.405703921344413e-09,-7.1378372330253e-10,3.2796462042587757e-09,-7.15591884631717e-10,3.096938442430211e-09,-3.9894942571344615e-09,-4.010509329870522e-09,42398589.680379406,0.985032395063284,0.9565262934984811,0.956635168642654,0.9623582110699086,0.9607850197246479,0.26441889175410205,0.2226774385124886,-1.4709996027057546,-1.7605128596863442,-2.6673186730743144,129.44851445845865,39.927659499136205,35.76002140575654,26.868900231285266,634605.3402098449,21857631.071035795,20540958.60934361
5.0,1.0,0.5210508807973182,0.957898228042854,1.7712160641137134,18.447340490239583,1.9999999801595936,11.291677061208,16.846887708891312,-4.474736882368848e-10,1.7905259428491873e-08,-4.4882254035362695e-10,1.7595796266436638e-08,-4.5034651443370635e-10,1.7102768304835326e-08,-1.6971114131530835e-09,-1.700711909132286e-09,63597885.15773676,0.9806625220901752,0.961744895097363,0.9617305327312882,0.9609755722577483,0.9611831012596882,0.5124261247288773,0.4631488858490595,-0.6787631726293767,-0.872419720652225,-1.4834480506633747,190.90118898984002,58.86210796144439,52.75526411587222,39.638321619489695,1229822.6993493054,32786446.935031023,30811438.22270574
10.0,1.0,0.6207034793332781,0.9482412915495456,2.1093677218685056,25.33179401198609,2.499999975208266,11.851892627776314,20.06143734804173,-3.752255437480328e-10,1.4178884173715177e-08,-3.762953122522452e-10,1.3905129116295164e-08,-3.7768690383752176e-10,1.3465623115203873e-08,-1.1971970125898116e-09,-1.1981064622263174e-09,76317462.44182427,0.9778715615871915,0.9621297453598381,0.9620621906210561,0.958511163073415,0.9594872952401322,0.7036609447773915,0.5397964534463549,-0.4219264571270946,-0.5840521476418413,-1.0984358827859524,225.85187999564025,69.62325310981332,62.42834575149438,46.90612575185443,1688786.2674657395,39343736.452228576,36973725.9895957
15.0,1.0,0.6870633750530086,0.9388098648972948,2.440459413290742,30.664550325747875,2.999999970264943,12.292767312281216,22.205903870241343,-3.389647854141752e-10,1.2080392957965724e-08,-3.3990904547463283e-10,1.1834471869362421e-08,-3.4128591529984e-10,1.1477926810829962e-08,-9.777488623393414e-10,-9.77273060071722e-10,84797180.63127944,0.9758918475846616,0.9617070684361422,0.9616078038568672,0.9563899425807217,0.9578242660729451,0.8517930646041078,0.5760105199054767,-0.2985347999147978,-0.4453007126313115,-0.9129022456635865,247.73260932866495,76.35628367451957,68.48782680025215,51.4588285019142,2044303.3550498586,43715262.79705968,41081917.83421976
20.0,1.0,0.7344423193294649,0.9294518725473896,2.7686090191121764,34.92178919374312,3.499999965326397,12.641727095322253,23.74022203165814,-3.1722717576151486e-10,1.068865893576574e-08,-3.1810045862674096e-10,1.0464966423425013e-08,-3.1949577783710825e-10,1.0217501594159133e-08,-8.56230457714095e-10,-8.547156722247702e-10,90854122.19517362,0.9743751937354963,0.9610936175347022,0.960972567029425,0.9546095244561594,0.9563586436760544,0.9700496998261978,0.5961954394413546,-0.22848218630623593,-0.366397970931467,-0.8072240376762634,262.19859542949894,80.8051108581226,72.49633873292063,54.47053469629487,2328119.279582875,46837781.61479496,44016340.58037867
25.0,1.0,0.7699786852592313,0.9200852492928996,3.0956625793723007,38.42912842499791,3.9999999603901775,12.921304754089988,24.893830388990303,-3.0278879221309886e-10,9.665053197709277e-09,-3.036163921178241e-10,9.459634527523203e-09,-3.050404605112802e-10,9.344408945318981e-09,-7.795733828394722e-10,-7.771226977381182e-10,95396828.36807345,0.9731443703231409,0.9604355435263706,0.9602981997709845,0.9530786994418337,0.9550632479716222,1.0674757895832754,0.6083947080899532,-0.1851732248166656,-0.31752051334724163,-0.7416317999493037,272.0419388082269,83.8303018330499,75.22579656162024,56.521228125808484,2561941.894999861,49179670.72808569,46217157.63998776
30.0,1.0,0.797630661766852,0.9106620124998004,3.422512383000611,41.40225574801204,4.499999955454164,13.148235716561205,25.793975461754524,-2.9253669172871886e-10,8.856285559704801e-09,-2.933323195511411e-10,8.666243469695028e-09,-2.947874931280823e-10,8.703453398198805e-09,-7.2701680092335e-10,-7.236437828063487e-10,98930044.28030324,0.9720999782899081,0.9597726468535774,0.9596223822451898,0.9517236948482684,0.953894943237513,1.1500626596670012,0.6160190685559169,-0.1572555511453053,-0.2859302211225572,-0.6991288349750522,278.799572444473,85.90538789587728,77.10127025206423,57.93028601753519,2760150.383200803,51001140.03840972,47928904.24189352
35.0,1.0,0.8197691620099373,0.9011541805165496,3.749598052483152,43.98633136649331,4.9999999505165125,13.334762501290742,26.516889604603403,-2.8490869246802303e-10,8.183221140729075e-09,-2.8568058052126434e-10,8.0063567804206e-09,-2.87166123078434e-10,8.213299757598087e-09,-6.888452890113791e-10,-6.84521192905358e-10,101756617.01006153,0.9711820009620642,0.9591147562845054,0.9589537859327912,0.9504923491247195,0.9528182901471964,1.2218425379581475,0.6207572733633092,-0.13907492017360937,-0.26527917122261635,-0.6712403791046707,283.3878144062104,87.31260970272831,78.37625948895933,58.88817496346128,2932422.091099554,52458315.48665577,49298301.52340577
