Unnamed: 0,OPTIMAL,SOLVENT_REC,SOLUTE_REC,SEP_FACTOR,MOLAR_POWER,FINAL_CONC1,FINAL_CONC2,FEED_PRESSURE,DILUTION_0,PERMEATE_PRESSURE_0,DILUTION_1,PERMEATE_PRESSURE_1,DILUTION_2,PERMEATE_PRESSURE_2,OMEGA_1,OMEGA_2,EVAP_ENERGY,ENERGY_REDUCTION,EUR_GWP_REDUCTION,USA_GWP_REDUCTION,IND_GWP_REDUCTION,CHN_GWP_REDUCTION,MOLAR_POWER_KW,EUR_COST_REDUCTION,USA_COST_REDUCTION,IND_COST_REDUCTION,CHN_COST_REDUCTION,EUR_BREAKEVEN_COST,USA_BREAKEVEN_COST,IND_BREAKEVEN_COST,CHN_BREAKEVEN_COST,NF_ENERGY,EVAP_ENERGY_THERMAL,EVAP_ENERGY_ELECTRIC
10.0,1.0,0.9985437180173244,0.3033335461085462,100.00000099090909,248.771659115568,207.60239313110105,20.760239107395005,38.66380039591907,0.0015147448492328,0.6289495440628052,0.0016612004285967,0.7984850251491337,0.001814938862209,2.573050871258175,0.0035057821099438,0.3329351291740074,126583082.24524203,0.8689810914681326,0.8420095592937447,0.841036312998257,0.7898774384585027,0.80394036035402,6.9103238643213345,0.0036678509372177056,-1.8216246607473905,-2.1145094233835406,-3.0873235988068672,100.45222240104364,30.645584810775407,28.06685804218277,21.08445298966862,16584777.274371201,65257036.43466856,61326045.81057346
15.0,1.0,0.997550716127484,0.3999999900397819,78.17458688319732,192.801455553546,163.3130380133235,20.890809216214183,40.00000039639984,-1.7375451405342307e-10,-5.055524571453049e-10,-1.7279602322865888e-10,-2.9120379253454345e-10,-1.7032482682559175e-10,7.645944819471468,-2.826841191569489e-10,0.4044132080969884,126416925.17821498,0.8983250830368132,0.8779916484851086,0.8772312076328063,0.8372584912318186,0.8482464809746721,5.3555959875985,0.2424027049776681,-1.1391902227801154,-1.3604623885747749,-2.096703689787416,139.49022071794303,42.69095503579554,38.84701646904606,29.1843601858299,12853430.370236399,65171377.92814039,61245547.250074595
20.0,1.0,0.9938018397149374,0.4999999901149721,40.76734375127502,149.56753020495535,80.66909650658013,19.78767539988601,40.00000038946877,-9.505489706664935e-11,1.7741456710144108e-08,-8.914399137897838e-11,1.8433519888749013e-08,-6.777547258186651e-11,11.510653690593488,-1.6173712338683575e-10,0.3502258665824767,125619011.98673731,0.9206237294607675,0.9041758866256508,0.9035871868217039,0.87264207092316,0.8811484884674082,4.154653616804315,0.39357960799373526,-0.7185293586010285,-0.8970523514506038,-1.4897832599397471,179.64249441055506,55.101523406765054,49.914840049726756,37.50066744270445,9971168.680330357,64760031.883436866,60858980.103300445
25.0,1.0,0.991131476280152,0.5499999900610202,31.767353079917218,133.75554657897945,62.01708509649249,19.522270218886646,40.00000039409796,-1.4747085457818418e-10,5.5084644466885565e-09,-1.4347363766714308e-10,5.976083170214457e-09,-1.2645767777133038e-10,13.675224150628663,-2.455901198974538e-10,0.3128579587387198,125144792.05479378,0.9287462443127927,0.913700001902165,0.913173979725206,0.8855235250757028,0.8931242822778445,3.715431849416096,0.4482881041558484,-0.5664626900664684,-0.7295524971512846,-1.2704390826827066,199.4075964082534,61.21100817146102,55.36269992166621,41.59416614820933,8917036.438598631,64515558.55550091,60629233.49929287
30.0,1.0,0.9877722380413164,0.5999999900825602,25.376332107239733,121.3311300030594,49.06866785833599,19.33639095318152,40.00000039128441,-1.1529229098750092e-10,1.2832555027318785e-08,-1.0812000019869087e-10,1.3665659971973052e-08,-7.377960662869187e-11,15.20390949946853,-1.9883419147334107e-10,0.2927032178790087,124603572.17328495,0.9350841885258712,0.9212104501364431,0.920732652474226,0.8956171285106866,0.9025210656094159,3.37030916675165,0.4930343501270237,-0.4411429256111632,-0.5913962766119251,-1.0893616419367707,218.7533336626946,67.18875013819566,60.69695223251808,45.602275188453454,8088742.00020396,64236544.92350258,60367027.249782376
35.0,1.0,0.9834852936415728,0.6499999901050045,20.50458078117635,111.63206938487154,39.35885846498872,19.1951539439036,40.000000387533575,-6.899527197018393e-11,2.2590076620994092e-08,-6.010948335144542e-11,2.3924602820162213e-08,2.023283209869692e-11,15.794494017965077,-1.2666325422653715e-10,0.3047699212271652,123964077.96273142,0.939965366731249,0.9270866039269194,0.9266451504331035,0.9034400645160267,0.9098188465702923,3.1008908162464315,0.5298958369147765,-0.3368553406663452,-0.4762964464845478,-0.9383277718058797,237.5582391407506,72.99685425035675,65.88444405371489,49.50007939825554,7442137.958991435,63906868.190580234,60057209.772151195
40.0,1.0,0.977871477967034,0.699999990351113,16.58169347992998,104.0208416830732,31.633381959187307,19.077292676695222,40.00000035172994,7.643465055455491e-10,1.1618780500722941e-07,6.15375499734837e-10,1.2135395450818777e-07,9.885828882439667e-11,15.460420713176722,7.796438890898819e-11,0.3498065475979173,123174836.61239572,0.9437001666120036,0.9316708409537915,0.9312564330892057,0.9094730057585033,0.9154609920057437,2.889467824529811,0.5604002588540149,-0.2496118307950949,-0.37989237886761557,-0.811670728485236,255.6701168685076,78.58850889252263,70.88300736567928,53.255896706671564,6934722.7788715465,63499992.71685128,59674843.89554444
45.0,1.0,0.9702402206012748,0.7499999904105793,13.287220292339168,98.25803468946368,25.20179934362692,18.9669462755556,40.00000033257326,1.2588258074404338e-09,1.6689207959741398e-07,1.065040514642098e-09,1.728103662756843e-07,6.62744876923437e-10,14.109102996304552,5.88237327124388e-10,0.4251316295017187,122148680.6992467,0.946372440467917,0.9350708053448649,0.934674710930548,0.9138539335570446,0.9195772996131137,2.729389852485103,0.5853556806920718,-0.17705470080200042,-0.29957316812701684,-0.705952647215069,272.76540030068276,83.86313305527261,75.60398695581638,56.80310517140099,6550535.645964246,62970981.31481984,59177699.384426855
50.0,1.0,0.9592977807040466,0.7999999904666828,10.428727213600432,94.68760067779068,19.654947602539693,18.84692848894068,40.00000030512762,1.957367657857688e-09,2.413409270215017e-07,1.782336986067106e-09,2.446586548477151e-07,1.693364945950597e-09,11.305011762450118,1.468562655185229e-09,0.5292266736526408,120724333.74140313,0.9477113973942123,0.937035619537019,0.9366464400387053,0.9161891465252529,0.921812595505738,2.63021112993863,0.6046772965897993,-0.1186218190964886,-0.23462006370889296,-0.6200976701309399,288.1461587436579,88.60246076210379,79.85738495077896,59.99891075717713,6312506.711852712,62236691.552910514,58487642.18849261
55.0,1.0,0.9423384282102528,0.8499999905201799,7.887407457423491,95.1787055075785,14.741186529258226,18.689520744086927,40.00000026355021,3.0085219712873926e-09,3.593940380442948e-07,2.922520202094928e-09,3.484853157203101e-07,3.240666618298888e-09,5.735841051713665,2.8806086934281994e-09,0.6619419902903695,118567173.64693004,0.9464839479708483,0.9363602074815253,0.9359549450757599,0.9146522505077449,0.920508089451998,2.6438529307660694,0.616343584105259,-0.07704926845995669,-0.18768706071687116,-0.5570947549419857,300.1212288231455,92.27473076429789,83.18551284653803,62.49929990111995,6345247.033838566,61124616.60273893,57442557.04419111
60.0,1.0,0.9124221603795144,0.8999999905523793,5.578891463220937,97.70834001026748,10.276572145933391,18.42045541427442,40.00000018685002,1.0637613232886387e-09,5.980379080222919e-07,1.395820562192976e-09,5.424899152312422e-07,3.05268364834051e-09,1.5475525256802303e-05,2.917586526791929e-09,0.7879640362390898,114818514.86453459,0.9432679534158488,0.9335368004560324,0.9330985206044728,0.910060257789404,0.9163931823013565,2.714120555840763,0.6194098328226607,-0.05718199458363787,-0.16438774237983841,-0.5246694642297673,306.2146044487623,94.12137919695675,84.89955428117787,63.78678044075004,6513889.334017832,59192080.608158074,55626434.25637652
