Unnamed: 0,OPTIMAL,SOLVENT_REC,SOLUTE_REC,SEP_FACTOR,MOLAR_POWER,FINAL_CONC1,FINAL_CONC2,FEED_PRESSURE,DILUTION_0,PERMEATE_PRESSURE_0,DILUTION_1,PERMEATE_PRESSURE_1,DILUTION_2,PERMEATE_PRESSURE_2,OMEGA_1,OMEGA_2,EXTRACTION_ENERGY,ENERGY_REDUCTION,EUR_GWP_REDUCTION,USA_GWP_REDUCTION,IND_GWP_REDUCTION,CHN_GWP_REDUCTION,MOLAR_POWER_KW,EUR_COST_REDUCTION,USA_COST_REDUCTION,IND_COST_REDUCTION,CHN_COST_REDUCTION,EUR_BREAKEVEN_COST,USA_BREAKEVEN_COST,IND_BREAKEVEN_COST,CHN_BREAKEVEN_COST,NF_ENERGY,EXTRACTION_ENERGY_THERMAL,EXTRACTION_ENERGY_ELECTRIC
0.0,1.0,0.977857414807074,0.1600786914436697,4.51790263079518,2999.999985351109,7.229448843870939,16.00178099154855,39.999999945230606,6.716752551127906e-08,1.5180912264687348e-06,7.831115705051186e-08,1.3957579682628405e-06,1.0849677582408021e-07,1.5373404718583066e-06,1.6130181553632005e-08,0.4095425300881717,5612769349.027189,0.99406116106012,0.9941977168061571,0.9940937546365312,0.983905462013192,0.9881029346118382,83.33333292641969,0.9768306664235424,0.9491437261311491,0.9579473969034571,0.9477571142991988,10465.033221607098,2851.424082120249,3243.710858789148,2432.70193750837,33333333.170567878,5612769349.027189,0.0
5.0,1.0,0.9693059574725088,0.1999999928998953,4.138704909845557,2403.910521029128,6.515921982844537,15.74386704252966,40.000000054533366,7.751867531407704e-08,1.417290076787909e-06,9.009050103239177e-08,1.3135691742550016e-06,1.2254699124638874e-07,1.391847493369669e-06,1.9445244648174693e-08,0.4322490749067417,5612769349.027189,0.9952411875066711,0.9953508051382215,0.9952674998866972,0.9871035852373102,0.9904670347676062,66.77529225080912,0.9814429079702488,0.9592800817303185,0.9663308315668903,0.958174565695999,13111.066818184938,3574.300931189208,4062.07984043089,3046.4785814103607,26710116.900323644,5612769349.027189,0.0
10.0,1.0,0.9421548442031767,0.299999994109796,3.4185368261302087,1608.3465843865,5.186259362085621,15.170991643371815,39.99999992321367,1.0979623314853528e-07,1.920499149444677e-06,1.255738636886063e-07,1.7344413783844918e-06,1.632794812703342e-07,2.077744229608889e-06,3.0113349237045745e-08,0.5042863165892614,5612769349.027189,0.9968160962097272,0.9968898459166571,0.9968341101829106,0.9913720082757467,0.9936223385257645,44.67629401073611,0.9876023084484693,0.9728220884425598,0.9775317316228931,0.972094157939811,19739.083795611157,5385.020660093903,6112.007464733954,4583.924008473749,17870517.60429444,5612769349.027189,0.0
15.0,1.0,0.9050223303565637,0.3999999951958153,2.878443370227616,1212.1253208245528,4.211515953099337,14.63122740872064,39.99999974605555,1.557431697623486e-07,2.598717285969928e-06,1.738539045164841e-07,2.2629867143113584e-06,2.1579971185742186e-07,3.128965664269686e-06,4.6880317802401926e-08,0.6027717862677893,5612769349.027189,0.9976004609698407,0.997656459249419,0.9976144541898102,0.9934979583481364,0.9951939126298465,33.670147800682024,0.9906748579879436,0.9795845806754593,0.983126156794566,0.9790479119899687,26366.910898547558,7195.678662770541,8161.88559794799,6121.332211657063,13468059.12027281,5612769349.027189,0.0
20.0,1.0,0.8542526239069017,0.4999999922485094,2.437694860622159,976.1283451911924,3.430593338219928,14.073104036263391,40.0000000644961,7.926302964936805e-08,1.2911877449975503e-06,8.510038881570782e-08,1.0729932759270155e-06,1.0132455903875348e-07,1.829810455543608e-06,2.47304585840922e-08,0.7374900522073944,5612769349.027189,0.9980676436483169,0.9981131940866714,0.9980793672796398,0.9947643401905379,0.9961300975244408,27.114676255310897,0.9925104350190628,0.9836326107218516,0.9864761117076156,0.9832134452590167,32994.475512944366,9006.25125595901,10211.695385431083,7658.689008781177,10845870.50212436,5612769349.027189,0.0
25.0,1.0,0.8220211372262156,0.549999996686778,2.243126522765925,891.1181150905404,3.0902542730031137,13.776549123018809,39.99999928493296,2.8022263599669984e-07,4.257619004858804e-06,2.909556229728621e-07,3.4237506312641298e-06,3.369358466746712e-07,6.789735661250046e-06,1.0025530841698229e-07,0.8230944681002385,5612769349.027189,0.9982359310040755,0.9982777765900519,0.9982468957323553,0.9952205716780775,0.9964673863075822,24.753280974737233,0.9931742206292535,0.9851002209026479,0.987691161812036,0.9847250602134217,36308.12043491385,9911.493015808455,11236.564351642386,8427.340386661786,9901312.389894893,5612769349.027189,0.0
30.0,1.0,0.7838989230632266,0.5999999971730281,2.0622507144295845,820.9254667367196,2.7764781749066763,13.463339619570196,39.999999033407896,3.527333963678049e-07,5.133558737029729e-06,3.5115833717345253e-07,3.957482241668321e-06,3.983721376142084e-07,9.76020056658232e-06,1.3616693206506237e-07,0.9244492036867812,5612769349.027189,0.9983748852825329,0.9984137194238569,0.9983852710261769,0.9955973280535418,0.9967459321098698,22.803485187131102,0.9937244009353076,0.9863196894498526,0.9887011977941456,0.9859822265434507,39621.64829806558,10816.69664724159,12261.402875447537,9195.968866866599,9121394.07485244,5612769349.027189,0.0
35.0,1.0,0.735783200214226,0.6499999964007996,1.8803880897719,762.4313877019695,2.460100351471328,13.08293944666364,39.99999828289706,8.619846499053501e-07,9.145673733375362e-06,6.547936973769537e-07,5.99075892098102e-06,6.20835530906e-07,1.2745275431722996e-05,0.051767086343985,0.9999999209665572,5612769349.027189,0.9984906809212062,0.998527072138659,0.9985006507981111,0.9959113594244258,0.9969781210490436,21.17864965838804,0.9941858157549482,0.9873466403270654,0.9895523698436581,0.9870424987534334,42934.99431765929,11721.841370201371,13286.193807487505,9964.561554366628,8471459.863355216,5612769349.027189,0.0
40.0,1.0,0.6737704184462315,0.6999999975267707,1.6998707238191062,713.4163417131422,2.14572740732935,12.622885830450304,39.99999751528003,1.2033145885813045e-06,1.1056124998852664e-05,9.28794587638365e-07,8.290300040534676e-06,9.961024525809402e-07,2.033384366441525e-05,0.2147392039698664,0.999999873398329,5612769349.027189,0.998587711742933,0.9986221403383558,0.9985974175679915,0.996174586072279,0.9971727679257422,19.81712060314284,0.9945761701695267,0.988220761410934,0.9902776119039075,0.9879469571930976,46248.101249010906,12626.908370645657,14310.922418365371,10733.107368098506,7926848.241257136,5612769349.027189,0.0
45.0,1.0,0.6015430865213505,0.7499999987305646,1.5453475676997834,671.9264328615751,1.8822602294761297,12.18017401921972,39.999996394109694,1.7199176836401178e-06,1.3243869281729012e-05,1.3579420285788392e-06,1.1985306396741349e-05,1.6901014598111467e-06,3.518114815293114e-05,0.4051329273886523,0.999999800853998,5612769349.027189,0.9986698457054338,0.9987026891226608,0.9986794041459507,0.9963974764283581,0.9973376073630296,18.66462313504375,0.9949099422456216,0.9889729348472476,0.9909023336907756,0.9887269887997544,49560.97843145619,13531.900888324219,15335.590951584949,11501.607998064,7465849.2540175,5612769349.027189,0.0
