Unnamed: 0,OPTIMAL,SOLVENT_REC,SOLUTE_REC,SEP_FACTOR,MOLAR_POWER,FINAL_CONC1,FINAL_CONC2,FEED_PRESSURE,DILUTION_0,PERMEATE_PRESSURE_0,DILUTION_1,PERMEATE_PRESSURE_1,DILUTION_2,PERMEATE_PRESSURE_2,OMEGA_1,OMEGA_2,EXTRACTION_ENERGY,ENERGY_REDUCTION,EUR_GWP_REDUCTION,USA_GWP_REDUCTION,IND_GWP_REDUCTION,CHN_GWP_REDUCTION,MOLAR_POWER_KW,EUR_COST_REDUCTION,USA_COST_REDUCTION,IND_COST_REDUCTION,CHN_COST_REDUCTION,EUR_BREAKEVEN_COST,USA_BREAKEVEN_COST,IND_BREAKEVEN_COST,CHN_BREAKEVEN_COST,NF_ENERGY,EXTRACTION_ENERGY_THERMAL,EXTRACTION_ENERGY_ELECTRIC
0.0,1.0,0.9799131418281988,0.1480538261775038,5.658937127099932,2999.9999968902766,7.370680978442356,13.024850449645571,39.99999969807808,4.3487114125782335e-08,1.1786937877298678e-06,5.0150680048219535e-08,1.3092285800329272e-06,7.255486023320323e-08,7.500567678850024,1.0977661488008035e-08,0.2677812338363179,468653570172.7106,0.9999288742571907,0.9999303012305425,0.9999290561409527,0.999807037361166,0.9998573078533486,83.33333324695214,0.9997133482978148,0.9993573711291942,0.9994667219398128,0.9993347991762276,819295.8664472549,223821.24172026667,253397.04326511014,190047.70734236177,33333333.29878085,468653570172.7106,0.0
5.0,1.0,0.9695837186553374,0.1999999921443464,5.100078110435846,2405.668321316324,6.575425359367676,12.89279343772645,39.99999998399768,5.3760615301919184e-08,1.1549459613677223e-06,6.222166900602512e-08,1.2520353831692551e-06,8.417931261174021e-08,6.642094609275643e-06,1.2611775071148794e-08,0.4334310764390253,468653570172.7106,0.9999429650178386,0.9999442803015467,0.9999432818773513,0.9998454363062036,0.9998857476830922,66.82412003656457,0.9997776569150958,0.9995122083230841,0.9995966842601023,0.9994990015575292,1106790.1123284078,302362.9005989801,342313.33622874354,256734.92081319648,26729648.01462583,468653570172.7106,0.0
10.0,1.0,0.942586721778311,0.2999999930839891,4.133214756817394,1609.4688366137646,5.225271801925138,12.642149294010377,39.99999982309701,7.74978140565454e-08,1.6511859524599747e-06,8.819724556756748e-08,1.7654207122618363e-06,1.1399888798505101e-07,7.504967613667665e-06,2.0669367221294163e-08,0.5049705700134538,5612769349.027189,0.9968138745846405,0.9968877555484421,0.9968319809241033,0.9913660677388914,0.9936179681965743,44.70746768371568,0.9875971666954484,0.9728159686749229,0.9775273996136057,0.9720898136413726,19738.9817414755,5384.987465306567,6111.980881070323,4583.904013794308,17882987.073486272,5612769349.027189,0.0
15.0,1.0,0.9056179200325128,0.3999999939421035,3.417449685026997,1212.924230027788,4.23809240950983,12.401330817451996,39.99999959385179,1.112961717820942e-07,2.410416116745689e-06,1.2353382058717852e-07,2.4836178583653376e-06,1.5235867567658676e-07,8.775194617890852e-06,3.3121040419866015e-08,0.6029062645527258,5612769349.027189,0.9975988794388044,0.9976549711580054,0.9976129384129516,0.993493729397684,0.9951908014792291,33.69233972299411,0.9906711976951439,0.9795802242056644,0.983123072986248,0.9790448194544344,26366.814230646374,7195.6472095320605,8161.860427079539,6121.3132794672065,13476935.889197646,5612769349.027189,0.0
20.0,1.0,0.8550066163570818,0.4999999917212722,2.839128298561975,976.729811759184,3.4484330851864056,12.146098106707932,39.999999975403405,5.6358688182709575e-08,1.345750765562004e-06,6.016585768935547e-08,1.2922593561433034e-06,7.128536363965732e-08,3.823275202729953e-06,1.7077412554848433e-08,0.7370557615080526,5612769349.027189,0.9980664529772861,0.9981120737621528,0.9980782261118646,0.9947611563836203,0.9961277552640067,27.131383659977335,0.9925076793136763,0.9836293308440662,0.9864737899732369,0.9832111169345091,32994.38443138207,9006.221626148712,10211.67166374727,7658.671166664529,10852553.463990934,5612769349.027189,0.0
25.0,1.0,0.822836430288998,0.5499999951390592,2.5854625288248263,891.6479682815185,3.1044754635130114,12.007427796387724,39.99999896163479,2.031356600711033e-07,4.824146128988485e-06,2.095071872431229e-07,4.342256954687911e-06,2.409679126358167e-07,1.1781566810498911e-05,7.290810822827653e-08,0.8224080790792114,5612769349.027189,0.9982348820998159,0.9982767896576544,0.9982458904383952,0.9952177669509897,0.9964653229285815,24.76799911893107,0.9931717930804794,0.9850973317239394,0.9876891166745687,0.9847230093239883,36308.03285585214,9911.464489737244,11236.541575582112,8427.323255336289,9907199.647572428,5612769349.027189,0.0
30.0,1.0,0.7847428568625204,0.5999999955329341,2.3505427989994105,821.3978389914288,2.7873636790036915,11.858383009193572,39.999998593580806,2.567761983199521e-07,6.539606062824077e-06,2.538026421531447e-07,5.322490400866431e-06,2.86002607416214e-07,1.332616998852996e-05,9.98765411680865e-08,0.9235854792307612,5612769349.027189,0.9983739501682816,0.9984128395588416,0.9983843747915468,0.9955948275966511,0.9967440925761808,22.8166066386508,0.9937222367545621,0.986317113762184,0.9886993745752599,0.9859803982141206,39621.56346022763,10816.668996219527,12261.380828972673,9195.952284081752,9126642.65546032,5612769349.027189,0.0
35.0,1.0,0.7367366536957112,0.6499999949291235,2.1150197182761827,762.8454136056139,2.4690101869977243,11.673698196294875,39.99999590934061,6.243131175941929e-07,4.043960037427128e-05,4.692824755922725e-07,1.3851131485858768e-05,4.433975195597912e-07,1.4195002754097484e-05,0.0505097812776826,0.9999999430990624,5612769349.027189,0.9984898613101494,0.9985263009544124,0.9984998652661875,0.9959091678201417,0.9969765087322243,21.19015037793372,0.9941839189695882,0.9873443830778277,0.9895507720855089,0.9870408966030266,42934.91535299098,11721.815549252175,13286.173366109162,9964.546177820575,8476060.151173487,5612769349.027189,0.0
40.0,1.0,0.6749176315062796,0.6999999921213436,1.8816081877449704,713.7648911925595,2.153300200232416,11.443935109642494,39.99999812240949,3.1509379527371097e-07,2.281879023059492e-05,2.389985887838533e-07,6.394465426675094e-06,2.552860257813417e-07,7.7219106344003e-06,0.2128307234382385,0.9999999722489508,5612769349.027189,0.998587021749856,0.9986214911229834,0.9985967562739654,0.9961727410702171,0.9971714105993124,19.826802533126653,0.9945745737654226,0.9882188626468986,0.9902762681589968,0.9879456101954219,46248.03870982053,12626.887432278698,14310.906686703007,10733.095528073509,7930721.01325066,5612769349.027189,0.0
45.0,1.0,0.6028445874468683,0.749999996840321,1.6835353564642457,672.2184069928693,1.8884287752282505,11.217042564489532,39.99999137877546,1.263018509438904e-06,9.905114607764047e-05,9.78571459112388e-07,2.2613646960108592e-05,1.2088594510304142e-06,3.465512336219838e-05,0.4026565865020075,0.9999998478305993,5612769349.027189,0.998669267709651,0.9987021452820063,0.998678850187208,0.9963959308969813,0.9973364703494599,18.6727335275797,0.9949086048025084,0.9889713436917433,0.9909012075347087,0.9887258597445031,49560.91905770742,13531.88121022237,15335.57582834327,11501.596618591482,7469093.41103188,5612769349.027189,0.0
