,OPTIMAL,SOLVENT_REC,SOLUTE_REC,SEP_FACTOR,MOLAR_POWER,FINAL_CONC1,FINAL_CONC2,FEED_PRESSURE,DILUTION_0,PERMEATE_PRESSURE_0,DILUTION_1,PERMEATE_PRESSURE_1,DILUTION_2,PERMEATE_PRESSURE_2,OMEGA_1,OMEGA_2
29,1.0,0.8325515375386019,0.5499999962625383,2.3171832437216495,889.7643666427883,3.284592386758402,14.174935865162686,39.99999935828175,2.571120623459263e-07,3.983503012341058e-06,2.6883099158986416e-07,3.239543653228836e-06,3.1330587970858824e-07,6.169292291804424e-06,8.972967359224827e-08,0.7948222107423002
30,1.0,0.7958032730164193,0.5999999967333168,2.1242736546964736,819.5349834098694,2.9383425359833595,13.832222272714688,39.999999120768344,3.24133345604558e-07,4.81477396561654e-06,3.2590294573803004e-07,3.761999793259938e-06,3.7189704258276153e-07,8.767853583968367e-06,1.215957702202023e-07,0.8925165128021633
31,1.0,0.7958032730164195,0.5999999967333168,2.1242736546964736,819.5349834098697,2.938342535983361,13.832222272714695,39.999999120768344,3.2413334559268594e-07,4.814773965616529e-06,3.2590294570395533e-07,3.7619997932599156e-06,3.718970424926498e-07,8.767853583968486e-06,1.2159576889135414e-07,0.892516512802165
32,1.0,0.7958032730164223,0.5999999967333168,2.124273654696493,819.5349834098694,2.938342535983402,13.832222272714764,39.999999120768344,3.241333453231421e-07,4.814773965616513e-06,3.2590294495668344e-07,3.7619997932594324e-06,3.7189704038250875e-07,8.767853583972674e-06,1.2159572289165456e-07,0.8925165128022048
33,1.0,0.7958032730164234,0.5999999967333168,2.1242736546965295,819.5349834098697,2.9383425359833573,13.832222272714317,39.999999120768344,3.241333801945586e-07,4.814773966831205e-06,3.2590301291128685e-07,3.7619997942816715e-06,3.718971237161235e-07,8.767853611795104e-06,1.2159556150912675e-07,0.8925165128023211
34,1.0,0.7958032730164221,0.5999999967333168,2.124273654696492,819.5349834098694,2.9383425359834,13.832222272714757,39.999999120768344,3.2413334532289885e-07,4.814773965616507e-06,3.259029449566501e-07,3.7619997932594645e-06,3.718970403824831e-07,8.767853583972526e-06,1.215957228909223e-07,0.8925165128022045
35,1.0,0.7511413077292347,0.6499999958530355,1.9412801349648698,760.8953681578706,2.611923466429272,13.454644795386717,39.99999845249191,7.807635622845612e-07,8.632427419282367e-06,5.863041616037943e-07,5.4757455196386616e-06,5.393559253187728e-07,1.1468764637338627e-05,0.01123149705630893,0.9999999321869277
36,1.0,0.7511413077292364,0.6499999958530355,1.9412801349648745,760.8953681578713,2.6119234664293054,13.454644795386855,39.99999845249192,7.807635357166595e-07,8.632427424489682e-06,5.863041471540136e-07,5.475745513901349e-06,5.393559124875145e-07,1.1468764581151488e-05,0.011231497056316373,0.9999999321869277
37,1.0,0.7511413077292344,0.6499999958530355,1.941280134964869,760.8953681578706,2.61192346642927,13.454644795386711,39.99999845249191,7.807635615366274e-07,8.632427419371685e-06,5.863041610005194e-07,5.475745519579794e-06,5.393559257895613e-07,1.1468764636744003e-05,0.011231497056309553,0.9999999321869277
38,1.0,0.7511413077292347,0.6499999958530355,1.94128013496487,760.8953681578705,2.6119234664292716,13.454644795386713,39.99999845249191,7.80763562284946e-07,8.632427419282303e-06,5.863041616040433e-07,5.475745519638791e-06,5.393559253190096e-07,1.146876463733871e-05,0.011231497056308756,0.9999999321869277
39,1.0,0.7511413077292346,0.6499999958530355,1.9412801349648694,760.8953681578707,2.611923466429271,13.454644795386715,39.99999845249191,7.807635615699153e-07,8.632427419374362e-06,5.863041610340043e-07,5.475745519579587e-06,5.393559258546416e-07,1.146876463674092e-05,0.011231497056309464,0.9999999321869277
40,1.0,0.6897892278806228,0.6999999969417396,1.7446907588759237,711.9093760484639,2.256529562293363,12.933693554651533,39.999997717719296,1.1025114811288755e-06,1.0564630911633017e-05,8.408477703789754e-07,7.633093636411045e-06,8.738025453244025e-07,1.8434155019151693e-05,0.1723911533433731,0.9999998882637909
41,1.0,0.6897892278806229,0.6999999969417396,1.7446907588759233,711.909376048464,2.2565295622933625,12.933693554651533,39.999997717719296,1.1025114811089122e-06,1.056463091162847e-05,8.40847770362335e-07,7.633093636423484e-06,8.738025453348316e-07,1.843415501896247e-05,0.17239115334337318,0.9999998882637909
42,1.0,0.689789227880463,0.6999999969417396,1.7446907588755487,711.9093760481179,2.2565295622915396,12.933693554643865,39.999997717714216,1.1025126533549564e-06,1.0564630474806857e-05,8.408485807303439e-07,7.633094249912553e-06,8.738031825372976e-07,1.8434171582720888e-05,0.1723911533430281,0.999999888263791
43,1.0,0.6897892278808615,0.6999999969417396,1.7446907588762968,711.9093760483711,2.256529562297004,12.93369355466964,39.999997717718536,1.1025083885500145e-06,1.0564630766275999e-05,8.40845064288328e-07,7.633093713412138e-06,8.738007434700181e-07,1.8434156674417496e-05,0.17239115334425728,0.9999998882637909
44,1.0,0.6897892278806227,0.6999999969417396,1.744690758875923,711.9093760484637,2.2565295622933617,12.933693554651533,39.999997717719296,1.1025114810987715e-06,1.0564630911630508e-05,8.408477703554296e-07,7.633093636412244e-06,8.738025453423878e-07,1.8434155019153086e-05,0.17239115334337354,0.9999998882637909
45,1.0,0.6177029691035592,0.7499999981170641,1.5778113154287225,670.474949868715,1.9618243825700692,12.433833902610862,39.99999663574574,1.5953474772793773e-06,1.2805364855937104e-05,1.2446684749429392e-06,1.1100648912041315e-05,1.4982294863385537e-06,3.202553691383779e-05,0.3622997986314295,0.9999998198071361
46,1.0,0.6177029691035592,0.7499999981170641,1.577811315428723,670.474949868715,1.9618243825700696,12.433833902610864,39.99999663574574,1.5953474772790831e-06,1.2805364855937152e-05,1.2446684749429947e-06,1.1100648912041413e-05,1.4982294863386028e-06,3.202553691384035e-05,0.36229979863142936,0.9999998198071361
47,1.0,0.6177029691035589,0.7499999981170641,1.5778113154287225,670.4749498687149,1.9618243825700683,12.433833902610859,39.99999663574574,1.5953474772789027e-06,1.2805364855937228e-05,1.2446684749428935e-06,1.1100648912041547e-05,1.4982294863385105e-06,3.202553691384115e-05,0.36229979863142925,0.9999998198071361
