,iso_alpha,country,e_kg_co2_eq,h_kg_co2_eq,s_e_usd_kwh,s_h_usd_kwh,co2_reduction_efuel,cost_reduction_efuel
106,RUS,Russia,0.699,0.457,0.08,0.007,0.9424908265595013,-2.138334607860574
107,SAU,Saudi Arabia,1.04,0.457,0.068,0.005,0.9381457881917571,-2.730468201639972
108,SEN,Senegal,1.04,0.457,,,0.9381457881917571,
109,SRB,Serbia,0.92,0.457,0.114,,0.9394345433716134,
110,SGP,Singapore,0.509,0.457,0.317,0.169,0.946203439758188,0.4109042128630925
111,SVK,Slovakia,0.405,0.457,0.573,0.26,0.9489059328343967,0.6323458494858992
112,SVN,Solvenia,0.352,0.457,0.189,,0.9505411000775641,
113,ZAF,South Africa,1.06,0.457,0.073,,0.93795044277942,
114,SSD,South Sudan,1.02,0.457,,,0.9383463210498347,
115,ESP,Spain,0.26,0.457,0.215,0.185,0.9539309869396514,0.30842138781233636
116,LKA,Sri Lanka,0.77,0.457,0.102,,0.9413917080559665,
117,SDN,Sudan,0.46,0.457,,,0.9474027242474015,
118,SWE,Sweden,0.0327,0.457,,,0.9674589045519147,
119,CHE,Switzerland,0.0284,0.457,0.266,0.171,0.9678299788801892,0.35539637579590816
120,SYR,Syria,0.788,0.457,0.015,,0.9411325199225935,
121,TWN,"Taiwan, Province of China",0.755,0.457,0.113,0.025,0.941613440300539,-0.9840824905307334
122,TJK,Tajikistan,0.102,0.457,,,0.9622267527381959,
123,TZA,"Tanzania, United Republic Of",0.7,0.457,0.096,,0.9424744325519895,
124,THA,Thailand,0.765,0.457,0.142,,0.941465028129465,
125,TGO,Togo,0.484,0.457,0.179,,0.946800184886083,
126,TTO,Trinidad and Tobago,0.663,0.457,0.053,,0.9431000110378485,
127,TUN,Tunisia,0.626,0.457,0.114,,0.9437672087567549,
128,TUR,Turkey,0.574,0.457,0.19,0.064,0.9447836002454956,-0.09610987516796947
129,TKM,Turkmenistan,0.692,0.457,,,0.9426063637594829,
130,UKR,Ukraine,0.53,0.457,0.107,0.087,0.9457248624035327,-0.38553820417279877
131,ARE,United Arab Emirates,0.568,0.457,0.11,,0.9449073279039022,
132,GBR,United Kingdom,0.257,0.457,0.45,0.1,0.9540556547656271,0.4555858449552172
133,USA,United States of America,0.438,0.457,0.146,0.053,0.9479825400958966,-0.3810582925717781
134,URY,Uruguay,0.0334,0.457,0.121,,0.9673990782863933,
135,UZB,Uzbekistan,0.654,0.457,0.052,,0.9432583172983143,
136,VEN,Venezuela,0.367,0.457,0.053,,0.9500577076231527,
137,VNM,Vietnam,0.664,0.457,0.075,,0.9430825743672168,
138,YEM,Yemen,1.08,0.457,,,0.9377600860973733,
139,ZMB,Zambia,0.178,0.457,0.045,,0.9577438157487878,
140,ZWE,Zimbabwe,0.714,0.457,,,0.9422477846962948,
